case_id,snapshot_index,candidate_atm_id,candidate_lat,candidate_lon,candidate_bank,dist_victim_km,dist_terminal_km,same_bank_as_terminal,n_hops_observed,terminal_readiness,stolen_amount,urban,is_final_snapshot,label_is_true
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_24331,8.817457,76.758344,STATE BANK OF INDIA,52.84,481.723,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_39220,8.819359,76.758256,STATE BANK OF INDIA,52.974,481.577,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_28388,8.818208,76.75955,STATE BANK OF INDIA,52.994,481.571,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_36837,8.817612,76.760212,STATE BANK OF INDIA,53.004,481.569,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_51024,8.820474,76.758595,STATE BANK OF INDIA,53.085,481.461,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_51029,8.821553,76.758393,STATE BANK OF INDIA,53.149,481.39,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_51002,8.81658,76.76357,STATE BANK OF INDIA,53.204,481.398,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_27664,8.816815,76.763441,STATE BANK OF INDIA,53.211,481.389,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_19591,8.821777,76.759166,STATE BANK OF INDIA,53.228,481.313,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_50236,8.821313,76.759665,STATE BANK OF INDIA,53.234,481.313,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_47393,8.820857,76.762081,STATE BANK OF INDIA,53.398,481.166,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_48910,8.823458,76.761056,STATE BANK OF INDIA,53.508,481.035,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_22837,8.819142,76.765426,STATE BANK OF INDIA,53.546,481.051,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_22861,8.822408,76.762565,STATE BANK OF INDIA,53.553,481.005,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_36856,8.81705,76.768385,STATE BANK OF INDIA,53.637,480.995,0,1,0.45967035857392463,56785.87,1,0,0
b59cf7be-ba3a-42df-9a03-0d448d4be42e,0,ATM_41905,20.976241,85.095914,STATE BANK OF INDIA,1671.706,1151.646,0,1,0.45967035857392463,56785.87,1,0,0
